date,open,high,low,close,volume
2025-01-02,149.89,149.99,148.95,149.58,4846894
2025-01-03,148.46,149.29,148.27,149.05,5139061
2025-01-06,149.22,151.9,149.12,151.3,4114014
2025-01-07,150.53,152.16,150.49,150.97,4872412
2025-01-08,151.37,151.65,148.29,148.73,6048085
2025-01-09,148.55,149.44,147.85,149.22,3664133
2025-01-10,149.64,151.99,146.39,146.92,3901027
2025-01-13,147.56,149.83,146.81,148.74,3797356
2025-01-14,148.68,148.78,147.43,148.16,5766096
2025-01-15,148.42,150.01,147.86,149.58,4139154
2025-01-16,149.23,150.35,147.14,150.12,4016848
2025-01-17,149.3,151.97,148.85,150.68,6002980
2025-01-20,151.75,153.05,151.1,151.58,6143474
2025-01-21,150.49,150.78,150.21,150.55,5868358
2025-01-22,150.99,155.78,150.44,155.2,4325842
2025-01-23,154.55,156.85,154.48,156.32,5899163
2025-01-24,155.75,157.47,154.19,155.2,4318716
2025-01-27,155.52,157.77,155.28,157.75,5201563
2025-01-28,158.61,160.57,157.65,160.31,6084062
2025-01-29,160.62,163.01,158.74,162.98,4569348
2025-01-30,164.28,165.02,163.17,164.51,4818763
2025-01-31,165.68,167.99,163.32,167.3,5853157
2025-02-03,167.76,168.39,166.65,166.65,7069851
2025-02-04,165.77,167.12,164.48,164.92,4562898
2025-02-05,165.0,165.22,161.36,162.54,6062237
2025-02-06,162.54,167.27,161.21,166.99,3436083
2025-02-07,166.89,169.29,165.21,167.54,6188743
2025-02-10,168.04,171.86,167.99,171.13,4374020
2025-02-11,170.06,170.66,168.0,170.46,4266770
2025-02-12,170.73,171.14,167.26,167.52,5988752
2025-02-13,168.73,169.86,168.18,168.64,5620384
2025-02-14,169.05,170.2,167.54,167.63,5839789
2025-02-17,168.7,170.22,166.52,169.93,5292443
2025-02-18,169.68,171.42,169.56,169.91,5623253
2025-02-19,170.93,172.7,169.57,169.88,5275681
2025-02-20,169.36,171.75,168.35,171.13,5621862
2025-02-21,170.96,171.42,167.87,167.92,4105660
2025-02-24,168.36,169.94,167.96,169.35,6218077
2025-02-25,168.75,169.52,166.46,169.52,2765236
2025-02-26,170.11,170.21,167.55,169.48,4989712
2025-02-27,171.38,171.74,169.97,170.47,4171174
2025-02-28,170.52,170.73,167.79,169.94,7402961
2025-03-03,169.8,174.4,169.5,173.35,8797930
2025-03-04,172.6,173.17,169.02,169.5,5832008
2025-03-05,170.59,172.23,169.62,170.06,6488267
2025-03-06,170.46,170.5,165.06,166.46,7551857
2025-03-07,166.93,168.8,166.09,167.55,5056299
2025-03-10,167.97,169.63,166.81,169.14,4066661
2025-03-11,168.16,171.81,167.82,169.46,5539853
