date,open,high,low,close,volume
2024-01-02,100.0,100.81,98.63,100.28,1127396
2024-01-03,100.28,101.26,99.68,100.05,1692381
2024-01-04,100.05,103.06,98.64,101.77,2313923
2024-01-05,101.77,103.09,101.23,102.05,2611370
2024-01-08,102.05,104.51,101.85,103.67,1383016
2024-01-09,103.67,104.23,101.42,102.31,2092882
2024-01-10,102.31,104.27,101.89,103.18,4724753
2024-01-11,103.18,104.26,102.83,103.66,3232316
2024-01-12,103.66,104.39,102.49,102.76,4693291
2024-01-15,102.76,104.75,102.12,103.98,3321792
2024-01-16,103.98,105.58,102.96,104.1,4286317
2024-01-17,104.1,105.72,103.9,105.03,3694883
2024-01-18,105.03,106.73,103.92,106.02,1836798
2024-01-19,106.02,106.16,105.08,105.91,1416759
2024-01-22,105.91,107.65,104.64,107.09,3203544
2024-01-23,107.09,107.87,105.04,105.99,3080321
2024-01-24,105.99,108.38,105.29,107.58,2156559
2024-01-25,107.58,108.14,107.19,107.93,1893409
2024-01-26,107.93,109.08,107.21,107.49,1561458
2024-01-29,107.49,108.28,104.68,105.92,3998268
2024-01-30,105.92,108.53,104.86,107.61,3516737
2024-01-31,107.61,108.62,105.56,106.72,3517623
2024-02-01,106.72,107.14,106.02,106.62,2587137
2024-02-02,106.62,108.23,106.21,108.12,4127408
2024-02-05,108.12,109.06,105.26,106.4,2956963
2024-02-06,106.4,106.67,104.61,104.78,1254461
2024-02-07,104.78,105.61,104.04,104.38,4077668
2024-02-08,104.38,105.59,103.6,104.91,1198935
2024-02-09,104.91,107.77,104.56,106.43,4947709
2024-02-12,106.43,108.3,105.95,106.85,3522484
2024-02-13,106.85,107.66,105.78,106.6,4716686
2024-02-14,106.6,108.87,106.13,107.69,1251229
2024-02-15,107.69,109.37,106.29,108.07,1808528
2024-02-16,108.07,109.0,107.63,108.71,4333608
2024-02-19,108.71,110.41,107.51,110.13,2483965
2024-02-20,110.13,111.47,108.9,111.18,4375134
2024-02-21,111.18,111.78,110.42,111.26,2495994
2024-02-22,111.26,113.1,110.64,112.59,1412073
2024-02-23,112.59,115.19,112.41,113.75,2951655
2024-02-26,113.75,114.4,111.28,112.15,2825317
2024-02-27,112.15,114.3,111.66,114.04,860011
2024-02-28,114.04,114.14,112.23,112.87,4730804
2024-02-29,112.87,113.16,111.93,112.17,3153011
2024-03-01,112.17,112.63,110.94,111.41,2839138
2024-03-04,111.41,112.17,109.85,110.45,4877320
2024-03-05,110.45,111.67,108.63,108.95,4524139
2024-03-06,108.95,110.75,107.75,110.2,2401725
2024-03-07,110.2,110.41,108.35,108.49,1248983
2024-03-08,108.49,109.44,107.66,108.82,4330913
2024-03-11,108.82,109.74,107.92,109.63,2120215
2024-03-12,109.63,110.45,107.94,108.36,2434462
2024-03-13,108.36,111.42,107.56,110.18,988293
2024-03-14,110.18,111.02,108.89,110.8,3681430
2024-03-15,110.8,113.01,109.46,112.5,3824007
2024-03-18,112.5,115.69,111.72,114.35,3174582
2024-03-19,114.35,116.52,113.26,115.58,1946058
2024-03-20,115.58,116.68,114.05,115.41,3077007
2024-03-21,115.41,116.91,114.05,116.37,1981146
2024-03-22,116.37,117.07,114.49,115.25,889575
2024-03-25,115.25,115.85,114.55,115.46,2145376
2024-03-26,115.46,116.5,113.11,114.55,4359813
2024-03-27,114.55,116.54,113.88,115.86,2352169
2024-03-28,115.86,116.12,114.55,115.34,1536681
2024-03-29,115.34,116.12,114.88,115.06,1670178
2024-04-01,115.06,115.63,114.62,115.32,3324678
2024-04-02,115.32,115.58,113.18,113.76,1294808
2024-04-03,113.76,115.07,113.6,114.95,1608530
2024-04-04,114.95,118.2,113.82,116.72,1362503
2024-04-05,116.72,117.83,115.12,116.5,1120987
2024-04-08,116.5,117.3,115.8,116.23,951513
2024-04-09,116.23,119.34,115.56,118.0,1361427
2024-04-10,118.0,118.96,116.0,116.98,2251088
2024-04-11,116.98,117.38,114.32,115.35,2654209
2024-04-12,115.35,117.71,114.4,116.95,4538282
2024-04-15,116.95,118.38,115.87,117.22,2260953
2024-04-16,117.22,119.37,116.71,118.18,2305382
2024-04-17,118.18,120.62,117.46,119.86,4287256
2024-04-18,119.86,120.74,117.43,118.91,3725120
2024-04-19,118.91,119.9,117.02,117.42,4810800
2024-04-22,117.42,118.17,115.41,116.81,903872
2024-04-23,116.81,117.32,113.92,115.11,1845769
2024-04-24,115.11,116.33,114.98,115.76,2235000
2024-04-25,115.76,116.39,113.52,114.16,1309047
2024-04-26,114.16,115.37,113.02,115.04,4561876
2024-04-29,115.04,115.98,114.43,115.13,3468995
2024-04-30,115.13,115.93,114.16,114.38,1711311
2024-05-01,114.38,115.63,114.2,115.11,3863702
2024-05-02,115.11,116.48,113.91,115.26,1496083
2024-05-03,115.26,117.3,114.29,116.72,3151085
2024-05-06,116.72,118.12,114.51,115.84,2119022
