Selected strategy: _DaytonaDirect
Building environment from /home/kweizh/zealt/ds-bench/tasks/bytewax_realtime_top_k_leaderboard/environment/Dockerfile
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/bytewax_realtime_top_k_leaderboa__WnEF2M3/agent/trajectory.json
