Selected strategy: _DaytonaDirect
Building environment from /home/kweizh/zealt/ds-bench/tasks/libgdx_scene2d_stage_action_replay_headless/environment/Dockerfile
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
Trajectory dumped to jobs/2026-07-03__12-25-47/libgdx_scene2d_stage_action_repl__KZ36bRG/agent/trajectory.json
