date,symbol,price
2022-01-03,AAPL,171.25
2022-01-04,AAPL,173.3
2022-01-05,AAPL,177.75
2022-01-06,AAPL,175.62
2022-01-07,AAPL,172.49
2022-01-10,AAPL,171.84
2022-01-11,AAPL,171.72
2022-01-12,AAPL,172.77
2022-01-13,AAPL,174.15
2022-01-14,AAPL,172.27
2022-01-17,AAPL,173.07
2022-01-18,AAPL,173.33
2022-01-19,AAPL,171.51
2022-01-20,AAPL,173.96
2022-01-21,AAPL,173.02
2022-01-24,AAPL,173.16
2022-01-25,AAPL,175.08
2022-01-26,AAPL,174.51
2022-01-27,AAPL,173.83
2022-01-28,AAPL,172.85
2022-01-31,AAPL,171.37
2022-02-01,AAPL,171.69
2022-02-02,AAPL,172.69
2022-02-03,AAPL,173.16
2022-02-04,AAPL,174.52
2022-02-07,AAPL,174.7
2022-02-08,AAPL,174.47
2022-02-09,AAPL,173.92
2022-02-10,AAPL,172.81
2022-02-11,AAPL,175.11
2022-02-14,AAPL,178.99
2022-02-15,AAPL,177.28
2022-02-16,AAPL,175.93
2022-02-17,AAPL,176.84
2022-02-18,AAPL,175.09
2022-02-21,AAPL,174.16
2022-02-22,AAPL,173.26
2022-02-23,AAPL,174.02
2022-02-24,AAPL,175.4
2022-02-25,AAPL,177.45
2022-02-28,AAPL,179.98
2022-03-01,AAPL,183.86
2022-03-02,AAPL,185.53
2022-03-03,AAPL,185.53
2022-03-04,AAPL,186.19
2022-03-07,AAPL,190.06
2022-03-08,AAPL,190.22
2022-03-09,AAPL,191.46
2022-03-10,AAPL,190.23
2022-03-11,AAPL,189.07
2022-03-14,AAPL,188.38
2022-03-15,AAPL,188.61
2022-03-16,AAPL,185.05
2022-03-17,AAPL,187.6
2022-03-18,AAPL,185.47
2022-03-21,AAPL,187.67
2022-03-22,AAPL,188.59
2022-03-23,AAPL,189.37
2022-03-24,AAPL,188.08
2022-03-25,AAPL,187.64
2022-03-28,AAPL,186.8
2022-03-29,AAPL,185.31
2022-03-30,AAPL,187.36
2022-03-31,AAPL,185.4
2022-04-01,AAPL,184.25
2022-04-04,AAPL,181.97
2022-04-05,AAPL,183.03
2022-04-06,AAPL,183.22
2022-04-07,AAPL,185.26
2022-04-08,AAPL,185.71
2022-04-11,AAPL,184.96
2022-04-12,AAPL,185.51
2022-04-13,AAPL,186.66
2022-04-14,AAPL,187.66
2022-04-15,AAPL,191.03
2022-04-18,AAPL,190.81
2022-04-19,AAPL,191.2
2022-04-20,AAPL,193.51
2022-04-21,AAPL,194.53
2022-04-22,AAPL,195.41
2022-04-25,AAPL,194.81
2022-04-26,AAPL,196.9
2022-04-27,AAPL,198.18
2022-04-28,AAPL,196.47
2022-04-29,AAPL,195.5
2022-05-02,AAPL,195.28
2022-05-03,AAPL,197.56
2022-05-04,AAPL,196.41
2022-05-05,AAPL,196.03
2022-05-06,AAPL,197.18
2022-05-09,AAPL,198.56
2022-05-10,AAPL,196.04
2022-05-11,AAPL,193.55
2022-05-12,AAPL,193.87
2022-05-13,AAPL,196.07
2022-05-16,AAPL,194.19
2022-05-17,AAPL,192.08
2022-05-18,AAPL,194.13
2022-05-19,AAPL,194.19
2022-05-20,AAPL,196.1
2022-05-23,AAPL,196.28
2022-05-24,AAPL,196.77
2022-05-25,AAPL,196.05
2022-05-26,AAPL,195.67
2022-05-27,AAPL,194.23
2022-05-30,AAPL,195.95
2022-05-31,AAPL,194.37
2022-06-01,AAPL,193.19
2022-06-02,AAPL,192.58
2022-06-03,AAPL,194.73
2022-06-06,AAPL,195.61
2022-06-07,AAPL,195.03
2022-06-08,AAPL,194.28
2022-06-09,AAPL,191.99
2022-06-10,AAPL,190.63
2022-06-13,AAPL,188.94
2022-06-14,AAPL,189.0
2022-06-15,AAPL,192.1
2022-06-16,AAPL,191.38
2022-06-17,AAPL,191.2
2022-06-20,AAPL,191.2
2022-06-21,AAPL,192.39
2022-06-22,AAPL,192.79
2022-06-23,AAPL,191.96
2022-06-24,AAPL,190.69
2022-06-27,AAPL,194.92
2022-06-28,AAPL,199.23
2022-06-29,AAPL,199.43
2022-06-30,AAPL,198.79
2022-07-01,AAPL,200.17
2022-07-04,AAPL,199.04
2022-07-05,AAPL,198.27
2022-07-06,AAPL,199.74
2022-07-07,AAPL,200.98
2022-07-08,AAPL,200.36
2022-07-11,AAPL,198.01
2022-07-12,AAPL,195.7
2022-07-13,AAPL,192.66
2022-07-14,AAPL,190.77
2022-07-15,AAPL,190.96
2022-07-18,AAPL,188.8
2022-07-19,AAPL,185.14
2022-07-20,AAPL,185.77
2022-07-21,AAPL,182.47
2022-07-22,AAPL,183.17
2022-07-25,AAPL,182.52
2022-07-26,AAPL,181.36
2022-07-27,AAPL,179.58
2022-07-28,AAPL,179.31
2022-07-29,AAPL,180.94
2022-08-01,AAPL,180.99
2022-08-02,AAPL,184.03
2022-08-03,AAPL,185.85
2022-08-04,AAPL,185.76
2022-08-05,AAPL,185.92
2022-08-08,AAPL,183.79
2022-08-09,AAPL,185.99
2022-08-10,AAPL,187.97
2022-08-11,AAPL,184.97
2022-08-12,AAPL,184.24
2022-08-15,AAPL,184.64
2022-08-16,AAPL,186.36
2022-08-17,AAPL,183.3
2022-08-18,AAPL,185.01
2022-08-19,AAPL,183.99
2022-08-22,AAPL,182.49
2022-08-23,AAPL,181.39
2022-08-24,AAPL,181.0
2022-08-25,AAPL,180.4
2022-08-26,AAPL,178.17
2022-08-29,AAPL,178.22
2022-08-30,AAPL,177.27
2022-08-31,AAPL,176.13
2022-09-01,AAPL,173.2
2022-09-02,AAPL,172.28
2022-09-05,AAPL,170.86
2022-09-06,AAPL,167.91
2022-09-07,AAPL,166.76
2022-09-08,AAPL,164.03
2022-09-09,AAPL,162.96
2022-09-12,AAPL,164.82
2022-09-13,AAPL,165.96
2022-09-14,AAPL,162.71
2022-09-15,AAPL,160.31
2022-09-16,AAPL,162.38
2022-09-19,AAPL,159.87
2022-09-20,AAPL,159.0
2022-09-21,AAPL,158.0
2022-09-22,AAPL,160.08
2022-09-23,AAPL,163.06
2022-09-26,AAPL,161.0
2022-09-27,AAPL,159.42
2022-09-28,AAPL,157.84
2022-09-29,AAPL,157.17
2022-09-30,AAPL,156.32
2022-10-03,AAPL,156.58
2022-10-04,AAPL,154.6
2022-10-05,AAPL,152.92
2022-10-06,AAPL,153.21
2022-10-07,AAPL,155.58
2022-10-10,AAPL,157.19
2022-10-11,AAPL,159.03
2022-10-12,AAPL,157.52
2022-10-13,AAPL,154.77
