group,response
A,39.5119
A,55.9787
A,46.6045
A,48.479
A,38.3989
A,53.8409
A,52.0607
A,48.9263
A,41.4803
A,51.75
A,48.1266
A,44.114
A,50.6796
A,45.8215
A,49.0793
A,46.7831
A,44.9354
A,44.7054
A,61.1778
A,53.4535
A,53.9195
A,58.0844
A,58.6973
A,41.9475
A,48.2023
A,45.3475
A,51.1715
A,49.2849
A,49.9625
A,50.3464
A,51.1639
A,56.058
A,48.0205
A,54.9249
A,57.4384
B,55.2119
B,49.4608
B,57.6273
B,67.9405
B,70.4419
B,47.3378
B,60.4643
B,51.8582
B,58.6576
B,52.3858
B,68.6937
B,56.667
B,55.1477
B,55.1779
B,62.5981
B,51.615
B,50.9985
B,71.8656
B,50.4414
B,60.4437
B,52.7677
B,62.8821
B,36.3
B,45.9839
B,48.3741
B,68.9454
B,64.2615
B,60.5653
B,66.1734
B,59.4808
B,63.0553
B,51.7592
B,64.6249
B,66.6622
B,62.0193
B,66.8748
B,60.3192
B,46.4518
B,58.5998
B,62.0905
C,39.091
C,38.4652
C,43.799
C,38.8538
C,40.6389
C,51.6595
C,46.3703
C,46.471
C,43.4606
C,43.5478
C,51.5566
C,49.5403
C,41.4093
C,53.1112
C,54.9523
C,49.7623
C,41.1777
C,47.7765
C,47.1274
C,38.3887
C,47.7393
C,42.8579
C,48.4764
C,36.1552
C,46.461
C,51.1892
C,32.8745
C,54.659
C,48.0291
C,49.5612
D,52.6599
D,69.4829
D,58.9035
D,51.0148
D,55.1792
D,68.4902
D,50.1302
D,73.7083
D,51.738
D,60.6303
D,39.6613
D,43.4446
D,62.0581
D,71.3707
D,62.0051
D,82.9765
D,64.0696
D,62.2251
D,61.7359
D,45.9704
D,81.6888
D,68.7757
D,74.6346
D,82.7322
D,64.7113
D,67.8912
D,68.5554
D,59.4862
D,55.8143
D,53.4504
D,62.1454
D,66.1271
D,62.414
D,60.9013
D,83.4908
D,68.4808
D,60.5161
D,56.0308
