date,series,value
2024-01-01,Throughput,5200.0
2024-01-01,Latency,48.73
2024-01-01,ErrorRate,0.0215
2024-01-01,CpuLoad,64.6
2024-01-02,Throughput,5418.8
2024-01-02,Latency,49.93
2024-01-02,ErrorRate,0.0209
2024-01-02,CpuLoad,67.4
2024-01-03,Throughput,5630.5
2024-01-03,Latency,50.26
2024-01-03,ErrorRate,0.02
2024-01-03,CpuLoad,69.8
2024-01-04,Throughput,5828.2
2024-01-04,Latency,49.72
2024-01-04,ErrorRate,0.0189
2024-01-04,CpuLoad,71.8
2024-01-05,Throughput,6005.6
2024-01-05,Latency,48.38
2024-01-05,ErrorRate,0.0177
2024-01-05,CpuLoad,73.4
2024-01-06,Throughput,6157.3
2024-01-06,Latency,46.41
2024-01-06,ErrorRate,0.0165
2024-01-06,CpuLoad,74.4
2024-01-07,Throughput,6278.8
2024-01-07,Latency,44.03
2024-01-07,ErrorRate,0.0152
2024-01-07,CpuLoad,74.9
2024-01-08,Throughput,6366.9
2024-01-08,Latency,41.53
2024-01-08,ErrorRate,0.0141
2024-01-08,CpuLoad,74.9
2024-01-09,Throughput,6419.6
2024-01-09,Latency,39.19
2024-01-09,ErrorRate,0.0132
2024-01-09,CpuLoad,74.3
2024-01-10,Throughput,6436.5
2024-01-10,Latency,37.3
2024-01-10,ErrorRate,0.0125
2024-01-10,CpuLoad,73.2
2024-01-11,Throughput,6418.4
2024-01-11,Latency,36.07
2024-01-11,ErrorRate,0.0121
2024-01-11,CpuLoad,71.6
2024-01-12,Throughput,6367.6
2024-01-12,Latency,35.66
2024-01-12,ErrorRate,0.012
2024-01-12,CpuLoad,69.5
2024-01-13,Throughput,6287.9
2024-01-13,Latency,36.13
2024-01-13,ErrorRate,0.0122
2024-01-13,CpuLoad,67.0
2024-01-14,Throughput,6184.0
2024-01-14,Latency,37.44
2024-01-14,ErrorRate,0.0127
2024-01-14,CpuLoad,64.1
2024-01-15,Throughput,6061.5
2024-01-15,Latency,39.47
2024-01-15,ErrorRate,0.0135
2024-01-15,CpuLoad,61.1
2024-01-16,Throughput,5927.0
2024-01-16,Latency,42.01
2024-01-16,ErrorRate,0.0145
2024-01-16,CpuLoad,57.8
2024-01-17,Throughput,5787.5
2024-01-17,Latency,44.8
2024-01-17,ErrorRate,0.0156
2024-01-17,CpuLoad,54.5
2024-01-18,Throughput,5650.0
2024-01-18,Latency,47.54
2024-01-18,ErrorRate,0.0168
2024-01-18,CpuLoad,51.2
2024-01-19,Throughput,5521.7
2024-01-19,Latency,49.96
2024-01-19,ErrorRate,0.0181
2024-01-19,CpuLoad,48.0
2024-01-20,Throughput,5409.3
2024-01-20,Latency,51.79
2024-01-20,ErrorRate,0.0193
2024-01-20,CpuLoad,45.0
2024-01-21,Throughput,5318.9
2024-01-21,Latency,52.86
2024-01-21,ErrorRate,0.0203
2024-01-21,CpuLoad,42.2
2024-01-22,Throughput,5255.6
2024-01-22,Latency,53.06
2024-01-22,ErrorRate,0.0211
2024-01-22,CpuLoad,39.9
2024-01-23,Throughput,5223.6
2024-01-23,Latency,52.4
2024-01-23,ErrorRate,0.0217
2024-01-23,CpuLoad,37.9
2024-01-24,Throughput,5225.7
2024-01-24,Latency,50.95
2024-01-24,ErrorRate,0.022
2024-01-24,CpuLoad,36.4
2024-01-25,Throughput,5263.5
2024-01-25,Latency,48.9
2024-01-25,ErrorRate,0.0219
2024-01-25,CpuLoad,35.4
2024-01-26,Throughput,5337.0
2024-01-26,Latency,46.48
2024-01-26,ErrorRate,0.0216
2024-01-26,CpuLoad,35.0
2024-01-27,Throughput,5444.9
2024-01-27,Latency,43.98
2024-01-27,ErrorRate,0.021
2024-01-27,CpuLoad,35.1
2024-01-28,Throughput,5584.5
2024-01-28,Latency,41.7
2024-01-28,ErrorRate,0.0201
2024-01-28,CpuLoad,35.8
2024-01-29,Throughput,5751.9
2024-01-29,Latency,39.89
2024-01-29,ErrorRate,0.0191
2024-01-29,CpuLoad,37.0
2024-01-30,Throughput,5941.9
2024-01-30,Latency,38.78
2024-01-30,ErrorRate,0.0179
2024-01-30,CpuLoad,38.7
2024-01-31,Throughput,6148.5
2024-01-31,Latency,38.5
2024-01-31,ErrorRate,0.0166
2024-01-31,CpuLoad,40.9
2024-02-01,Throughput,6365.2
2024-02-01,Latency,39.1
2024-02-01,ErrorRate,0.0154
2024-02-01,CpuLoad,43.4
2024-02-02,Throughput,6584.9
2024-02-02,Latency,40.53
2024-02-02,ErrorRate,0.0143
2024-02-02,CpuLoad,46.3
2024-02-03,Throughput,6800.4
2024-02-03,Latency,42.66
2024-02-03,ErrorRate,0.0133
2024-02-03,CpuLoad,49.4
2024-02-04,Throughput,7004.7
2024-02-04,Latency,45.25
2024-02-04,ErrorRate,0.0126
2024-02-04,CpuLoad,52.7
2024-02-05,Throughput,7191.3
2024-02-05,Latency,48.05
2024-02-05,ErrorRate,0.0122
2024-02-05,CpuLoad,56.0
2024-02-06,Throughput,7354.3
2024-02-06,Latency,50.76
2024-02-06,ErrorRate,0.012
2024-02-06,CpuLoad,59.3
2024-02-07,Throughput,7488.8
2024-02-07,Latency,53.1
2024-02-07,ErrorRate,0.0122
2024-02-07,CpuLoad,62.5
2024-02-08,Throughput,7591.1
2024-02-08,Latency,54.83
2024-02-08,ErrorRate,0.0126
2024-02-08,CpuLoad,65.5
2024-02-09,Throughput,7658.7
2024-02-09,Latency,55.77
2024-02-09,ErrorRate,0.0134
2024-02-09,CpuLoad,68.1
2024-02-10,Throughput,7690.4
2024-02-10,Latency,55.85
2024-02-10,ErrorRate,0.0143
