alloy,treatment,supplier,strength_mpa
A356,AsCast,North,258.12
A356,AsCast,North,250.57
A356,AsCast,North,196.78
A356,AsCast,North,331.39
A356,AsCast,North,263.23
A356,AsCast,North,288.85
A356,AsCast,North,267.72
A356,AsCast,North,244.15
A356,AsCast,North,277.96
A356,AsCast,North,213.41
A356,AsCast,North,266.47
A356,AsCast,North,272.41
A356,AsCast,North,238.46
A356,AsCast,North,237.97
A356,AsCast,North,272.57
A356,AsCast,North,273.03
A356,AsCast,North,234.88
A356,AsCast,North,228.29
A356,AsCast,North,306.06
A356,AsCast,North,271.29
A356,AsCast,North,260.65
A356,AsCast,North,234.3
A356,AsCast,North,240.45
A356,AsCast,North,247.72
A356,AsCast,North,247.71
A356,AsCast,North,247.38
A356,AsCast,North,305.28
A356,AsCast,North,272.72
A356,AsCast,North,228.82
A356,AsCast,North,270.26
A356,AsCast,North,217.06
A356,AsCast,North,241.07
A356,AsCast,North,251.57
A356,AsCast,North,279.46
A356,AsCast,North,232.52
A356,AsCast,North,257.91
A356,AsCast,North,261.97
A356,AsCast,North,226.94
A356,AsCast,North,250.3
A356,AsCast,North,279.39
A356,AsCast,North,259.79
A356,AsCast,North,243.29
A356,AsCast,North,254.17
A356,AsCast,North,266.12
A356,AsCast,North,242.04
A356,AsCast,North,220.79
A356,AsCast,North,282.01
A356,AsCast,North,258.03
A356,AsCast,North,251.48
A356,AsCast,North,252.19
A356,AsCast,North,284.99
A356,AsCast,North,262.41
A356,AsCast,North,287.85
A356,AsCast,North,300.64
A356,AsCast,North,225.83
A356,AsCast,North,266.26
A356,AsCast,North,270.05
A356,AsCast,North,309.18
A356,AsCast,North,270.04
A356,AsCast,North,288.2
A356,AsCast,South,249.94
A356,AsCast,South,280.95
A356,AsCast,South,280.32
A356,AsCast,South,288.95
A356,AsCast,South,252.7
A356,AsCast,South,259.26
A356,AsCast,South,261.95
A356,AsCast,South,259.07
A356,AsCast,South,281.26
A356,AsCast,South,276.87
A356,AsCast,South,287.44
A356,AsCast,South,300.21
A356,AsCast,South,230.17
A356,AsCast,South,268.96
A356,AsCast,South,278.94
A356,AsCast,South,261.42
A356,AsCast,South,227.2
A356,AsCast,South,253.61
