temperature,pressure,humidity,vibration,machine_class
80.524,106.782,62.18,0.4415,B
61.962,101.202,41.552,0.4212,A
57.931,97.869,45.321,0.4217,A
68.086,100.647,27.222,0.0337,A
87.794,110.477,70.29,0.837,C
67.704,106.376,42.129,0.504,B
64.476,101.145,39.121,0.5579,A
84.205,104.07,53.04,0.5188,B
78.506,113.278,71.542,0.9034,C
73.778,119.64,75.753,0.7794,C
70.879,111.533,62.826,0.2615,B
85.574,118.492,71.285,0.6789,C
80.714,109.924,56.011,0.7786,C
91.648,106.036,46.474,0.5952,B
73.505,111.8,54.183,0.6819,B
77.363,112.2,67.95,0.9029,C
89.401,116.879,79.133,0.9768,C
70.209,103.739,42.565,0.4226,A
74.513,102.665,51.987,0.3968,B
84.729,112.889,80.189,1.0153,C
65.92,105.716,51.596,0.139,A
69.675,105.307,61.801,0.7268,B
87.653,113.374,81.754,0.8508,C
81.22,101.184,50.414,0.5269,B
74.686,106.165,44.409,0.6536,B
91.417,114.825,63.603,0.6959,C
68.861,97.691,34.622,0.2591,A
56.935,97.911,54.904,0.3691,A
72.679,105.157,52.448,0.4681,B
68.118,96.876,53.681,0.2553,A
90.426,117.05,71.73,0.7411,C
94.041,112.6,80.333,0.5491,C
55.378,104.636,43.674,0.3401,A
91.484,105.262,76.965,0.809,C
97.086,120.68,71.416,0.7439,C
90.968,123.293,68.29,0.8651,C
84.46,113.697,66.866,0.875,C
95.313,118.985,77.654,0.794,C
91.163,118.586,68.649,0.6941,C
83.352,120.29,70.727,0.8913,C
63.11,99.389,33.713,0.1985,A
95.407,113.855,75.374,0.716,C
54.36,97.014,43.096,0.1948,A
83.903,115.698,53.461,0.6255,B
88.246,113.859,66.544,0.8797,C
57.988,104.172,32.44,0.287,A
92.677,112.699,73.706,0.9888,C
61.828,101.341,48.401,0.4333,A
99.939,111.765,74.569,0.7482,C
72.935,108.576,65.079,0.6615,B
61.789,102.428,37.713,0.3294,A
73.728,111.089,53.122,0.321,B
87.574,118.457,66.622,0.7895,C
76.992,103.159,59.912,0.5708,B
63.006,100.837,42.186,0.1781,A
97.206,109.836,65.973,0.5668,C
97.923,113.877,54.995,1.0923,C
78.197,110.279,45.858,0.4475,B
60.53,99.016,42.194,0.3641,A
61.648,100.36,35.2,0.2483,A
72.232,108.764,68.757,0.5054,B
57.789,105.678,38.667,0.2572,A
85.008,105.201,48.965,0.6362,B
88.332,113.411,69.305,0.7303,C
81.365,114.963,84.073,0.8035,C
91.366,116.65,74.206,1.0541,C
60.246,106.678,40.192,0.2521,A
68.73,95.8,38.593,0.3094,A
72.399,97.693,42.444,0.2215,A
