period,category,sales
2023-Q1,Aurora,500
2023-Q1,Borealis,420
2023-Q1,Cascade,380
2023-Q1,Dynamo,300
2023-Q1,Everest,250
2023-Q2,Aurora,460
2023-Q2,Borealis,480
2023-Q2,Cascade,400
2023-Q2,Dynamo,350
2023-Q2,Everest,290
2023-Q3,Aurora,470
2023-Q3,Borealis,455
2023-Q3,Cascade,500
2023-Q3,Dynamo,410
2023-Q3,Everest,360
2023-Q4,Aurora,520
2023-Q4,Borealis,430
2023-Q4,Cascade,495
2023-Q4,Dynamo,470
2023-Q4,Everest,400
2024-Q1,Aurora,510
2024-Q1,Borealis,600
2024-Q1,Cascade,480
2024-Q1,Dynamo,520
2024-Q1,Everest,450
2024-Q2,Aurora,640
2024-Q2,Borealis,580
2024-Q2,Cascade,470
2024-Q2,Dynamo,560
2024-Q2,Everest,500
