date,category,volume
2021-01-04,Retail,1200
2021-01-04,Finance,1142
2021-01-04,Healthcare,852
2021-01-04,Technology,1067
2021-01-04,Energy,509
2021-01-04,Transport,585
2021-01-11,Retail,1259
2021-01-11,Finance,1160
2021-01-11,Healthcare,844
2021-01-11,Technology,1012
2021-01-11,Energy,501
2021-01-11,Transport,595
2021-01-18,Retail,1318
2021-01-18,Finance,1175
2021-01-18,Healthcare,833
2021-01-18,Technology,956
2021-01-18,Energy,495
2021-01-18,Transport,609
2021-01-25,Retail,1376
2021-01-25,Finance,1186
2021-01-25,Healthcare,821
2021-01-25,Technology,902
2021-01-25,Energy,490
2021-01-25,Transport,625
2021-02-01,Retail,1431
2021-02-01,Finance,1193
2021-02-01,Healthcare,807
2021-02-01,Technology,848
2021-02-01,Energy,487
2021-02-01,Transport,644
2021-02-08,Retail,1482
2021-02-08,Finance,1195
2021-02-08,Healthcare,792
2021-02-08,Technology,797
2021-02-08,Energy,485
2021-02-08,Transport,666
2021-02-15,Retail,1530
2021-02-15,Finance,1194
2021-02-15,Healthcare,775
2021-02-15,Technology,749
2021-02-15,Energy,486
2021-02-15,Transport,689
2021-02-22,Retail,1573
2021-02-22,Finance,1188
2021-02-22,Healthcare,757
2021-02-22,Technology,706
2021-02-22,Energy,488
2021-02-22,Transport,714
2021-03-01,Retail,1611
2021-03-01,Finance,1178
2021-03-01,Healthcare,738
2021-03-01,Technology,666
2021-03-01,Energy,491
2021-03-01,Transport,741
2021-03-08,Retail,1643
2021-03-08,Finance,1164
2021-03-08,Healthcare,719
2021-03-08,Technology,632
2021-03-08,Energy,497
2021-03-08,Transport,769
2021-03-15,Retail,1668
2021-03-15,Finance,1147
2021-03-15,Healthcare,700
2021-03-15,Technology,603
2021-03-15,Energy,504
2021-03-15,Transport,797
2021-03-22,Retail,1688
2021-03-22,Finance,1126
2021-03-22,Healthcare,681
2021-03-22,Technology,581
2021-03-22,Energy,513
2021-03-22,Transport,825
2021-03-29,Retail,1700
2021-03-29,Finance,1102
2021-03-29,Healthcare,663
2021-03-29,Technology,565
2021-03-29,Energy,523
2021-03-29,Transport,853
2021-04-05,Retail,1706
2021-04-05,Finance,1076
2021-04-05,Healthcare,645
2021-04-05,Technology,556
2021-04-05,Energy,534
2021-04-05,Transport,881
2021-04-12,Retail,1704
2021-04-12,Finance,1047
2021-04-12,Healthcare,628
2021-04-12,Technology,553
2021-04-12,Energy,547
2021-04-12,Transport,908
2021-04-19,Retail,1696
2021-04-19,Finance,1017
2021-04-19,Healthcare,613
2021-04-19,Technology,558
2021-04-19,Energy,560
2021-04-19,Transport,934
2021-04-26,Retail,1680
2021-04-26,Finance,985
2021-04-26,Healthcare,599
2021-04-26,Technology,570
2021-04-26,Energy,574
2021-04-26,Transport,957
2021-05-03,Retail,1659
2021-05-03,Finance,952
2021-05-03,Healthcare,587
2021-05-03,Technology,588
2021-05-03,Energy,589
2021-05-03,Transport,979
2021-05-10,Retail,1631
2021-05-10,Finance,919
2021-05-10,Healthcare,577
2021-05-10,Technology,613
2021-05-10,Energy,605
2021-05-10,Transport,999
2021-05-17,Retail,1597
2021-05-17,Finance,886
2021-05-17,Healthcare,569
2021-05-17,Technology,644
2021-05-17,Energy,620
2021-05-17,Transport,1016
2021-05-24,Retail,1558
2021-05-24,Finance,853
2021-05-24,Healthcare,563
2021-05-24,Technology,682
2021-05-24,Energy,635
2021-05-24,Transport,1030
2021-05-31,Retail,1514
2021-05-31,Finance,822
2021-05-31,Healthcare,559
2021-05-31,Technology,724
2021-05-31,Energy,651
2021-05-31,Transport,1042
2021-06-07,Retail,1467
2021-06-07,Finance,792
2021-06-07,Healthcare,558
2021-06-07,Technology,771
2021-06-07,Energy,665
2021-06-07,Transport,1050
2021-06-14,Retail,1416
2021-06-14,Finance,765
2021-06-14,Healthcare,559
2021-06-14,Technology,823
2021-06-14,Energy,680
2021-06-14,Transport,1055
2021-06-21,Retail,1362
2021-06-21,Finance,740
2021-06-21,Healthcare,563
2021-06-21,Technology,878
2021-06-21,Energy,693
2021-06-21,Transport,1057
2021-06-28,Retail,1307
2021-06-28,Finance,718
2021-06-28,Healthcare,569
2021-06-28,Technology,935
2021-06-28,Energy,705
2021-06-28,Transport,1055
2021-07-05,Retail,1252
2021-07-05,Finance,699
2021-07-05,Healthcare,578
2021-07-05,Technology,994
2021-07-05,Energy,716
2021-07-05,Transport,1051
2021-07-12,Retail,1196
2021-07-12,Finance,683
2021-07-12,Healthcare,589
2021-07-12,Technology,1054
2021-07-12,Energy,726
2021-07-12,Transport,1043
2021-07-19,Retail,1141
2021-07-19,Finance,672
2021-07-19,Healthcare,602
2021-07-19,Technology,1115
2021-07-19,Energy,734
2021-07-19,Transport,1032
2021-07-26,Retail,1087
2021-07-26,Finance,664
2021-07-26,Healthcare,616
2021-07-26,Technology,1174
2021-07-26,Energy,741
2021-07-26,Transport,1018
2021-08-02,Retail,1036
2021-08-02,Finance,661
2021-08-02,Healthcare,633
2021-08-02,Technology,1232
2021-08-02,Energy,746
2021-08-02,Transport,1002
2021-08-09,Retail,989
2021-08-09,Finance,661
2021-08-09,Healthcare,651
2021-08-09,Technology,1288
2021-08-09,Energy,750
2021-08-09,Transport,984
2021-08-16,Retail,945
2021-08-16,Finance,666
2021-08-16,Healthcare,670
2021-08-16,Technology,1341
2021-08-16,Energy,751
2021-08-16,Transport,963
2021-08-23,Retail,906
2021-08-23,Finance,675
2021-08-23,Healthcare,690
2021-08-23,Technology,1389
2021-08-23,Energy,751
2021-08-23,Transport,941
2021-08-30,Retail,872
2021-08-30,Finance,688
2021-08-30,Healthcare,711
2021-08-30,Technology,1434
2021-08-30,Energy,750
2021-08-30,Transport,917
2021-09-06,Retail,844
2021-09-06,Finance,705
2021-09-06,Healthcare,732
2021-09-06,Technology,1473
2021-09-06,Energy,746
2021-09-06,Transport,892
2021-09-13,Retail,823
2021-09-13,Finance,726
2021-09-13,Healthcare,754
2021-09-13,Technology,1506
2021-09-13,Energy,741
2021-09-13,Transport,867
2021-09-20,Retail,807
2021-09-20,Finance,750
2021-09-20,Healthcare,775
2021-09-20,Technology,1533
2021-09-20,Energy,734
2021-09-20,Transport,841
2021-09-27,Retail,799
2021-09-27,Finance,777
2021-09-27,Healthcare,796
2021-09-27,Technology,1554
2021-09-27,Energy,726
2021-09-27,Transport,816
2021-10-04,Retail,798
2021-10-04,Finance,806
2021-10-04,Healthcare,816
2021-10-04,Technology,1568
2021-10-04,Energy,717
2021-10-04,Transport,791
2021-10-11,Retail,803
2021-10-11,Finance,838
2021-10-11,Healthcare,835
2021-10-11,Technology,1575
2021-10-11,Energy,706
2021-10-11,Transport,767
2021-10-18,Retail,815
2021-10-18,Finance,872
2021-10-18,Healthcare,853
2021-10-18,Technology,1575
2021-10-18,Energy,695
2021-10-18,Transport,744
2021-10-25,Retail,835
2021-10-25,Finance,907
2021-10-25,Healthcare,869
2021-10-25,Technology,1569
2021-10-25,Energy,683
2021-10-25,Transport,723
2021-11-01,Retail,860
2021-11-01,Finance,943
2021-11-01,Healthcare,884
2021-11-01,Technology,1555
2021-11-01,Energy,670
2021-11-01,Transport,704
2021-11-08,Retail,892
2021-11-08,Finance,980
2021-11-08,Healthcare,897
2021-11-08,Technology,1535
2021-11-08,Energy,656
2021-11-08,Transport,687
2021-11-15,Retail,930
2021-11-15,Finance,1016
2021-11-15,Healthcare,907
2021-11-15,Technology,1508
2021-11-15,Energy,643
2021-11-15,Transport,673
2021-11-22,Retail,973
2021-11-22,Finance,1051
2021-11-22,Healthcare,915
2021-11-22,Technology,1476
2021-11-22,Energy,630
2021-11-22,Transport,661
2021-11-29,Retail,1021
2021-11-29,Finance,1086
2021-11-29,Healthcare,921
2021-11-29,Technology,1438
2021-11-29,Energy,616
2021-11-29,Transport,652
2021-12-06,Retail,1072
2021-12-06,Finance,1119
2021-12-06,Healthcare,925
2021-12-06,Technology,1396
2021-12-06,Energy,604
2021-12-06,Transport,647
2021-12-13,Retail,1127
2021-12-13,Finance,1149
2021-12-13,Healthcare,926
2021-12-13,Technology,1349
2021-12-13,Energy,591
2021-12-13,Transport,645
2021-12-20,Retail,1185
2021-12-20,Finance,1178
2021-12-20,Healthcare,925
2021-12-20,Technology,1299
2021-12-20,Energy,580
2021-12-20,Transport,646
2021-12-27,Retail,1244
2021-12-27,Finance,1203
2021-12-27,Healthcare,921
2021-12-27,Technology,1246
2021-12-27,Energy,570
2021-12-27,Transport,650
2022-01-03,Retail,1303
2022-01-03,Finance,1225
2022-01-03,Healthcare,915
2022-01-03,Technology,1192
2022-01-03,Energy,561
2022-01-03,Transport,658
2022-01-10,Retail,1363
2022-01-10,Finance,1244
2022-01-10,Healthcare,906
2022-01-10,Technology,1137
2022-01-10,Energy,553
2022-01-10,Transport,668
2022-01-17,Retail,1422
2022-01-17,Finance,1258
2022-01-17,Healthcare,896
2022-01-17,Technology,1081
2022-01-17,Energy,547
2022-01-17,Transport,682
2022-01-24,Retail,1480
2022-01-24,Finance,1269
2022-01-24,Healthcare,884
2022-01-24,Technology,1026
2022-01-24,Energy,542
2022-01-24,Transport,698
2022-01-31,Retail,1535
2022-01-31,Finance,1276
2022-01-31,Healthcare,869
2022-01-31,Technology,973
2022-01-31,Energy,539
2022-01-31,Transport,717
2022-02-07,Retail,1586
2022-02-07,Finance,1279
2022-02-07,Healthcare,854
2022-02-07,Technology,922
2022-02-07,Energy,537
2022-02-07,Transport,739
2022-02-14,Retail,1634
2022-02-14,Finance,1277
2022-02-14,Healthcare,837
2022-02-14,Technology,874
2022-02-14,Energy,538
2022-02-14,Transport,762
2022-02-21,Retail,1677
2022-02-21,Finance,1271
2022-02-21,Healthcare,819
2022-02-21,Technology,830
2022-02-21,Energy,540
2022-02-21,Transport,787
2022-02-28,Retail,1715
2022-02-28,Finance,1261
2022-02-28,Healthcare,801
2022-02-28,Technology,791
2022-02-28,Energy,543
2022-02-28,Transport,814
2022-03-07,Retail,1747
2022-03-07,Finance,1248
2022-03-07,Healthcare,782
2022-03-07,Technology,757
2022-03-07,Energy,549
2022-03-07,Transport,841
2022-03-14,Retail,1772
2022-03-14,Finance,1230
2022-03-14,Healthcare,763
2022-03-14,Technology,728
2022-03-14,Energy,556
2022-03-14,Transport,870
2022-03-21,Retail,1792
2022-03-21,Finance,1209
2022-03-21,Healthcare,744
2022-03-21,Technology,706
2022-03-21,Energy,565
2022-03-21,Transport,898
2022-03-28,Retail,1804
2022-03-28,Finance,1186
2022-03-28,Healthcare,725
2022-03-28,Technology,690
2022-03-28,Energy,575
2022-03-28,Transport,926
2022-04-04,Retail,1810
2022-04-04,Finance,1159
2022-04-04,Healthcare,708
